Timeframe,Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Gross PnL %,Net PnL %,Status,Exit Reason,Regime,Regime Reason,Triggered Rules
1d,BTCUSDT,Bullish,2020-11-14T00:00:00+00:00,2020-11-18T00:00:00+00:00,16320.54,17929.715629764996,9.86,9.82,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 55.59 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.20"
1d,BTCUSDT,Bullish,2020-11-19T00:00:00+00:00,2020-11-26T00:00:00+00:00,17788.32,16596.672097176357,-6.70,-6.82,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 56.54 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.20"
1d,BTCUSDT,Bullish,2020-11-27T00:00:00+00:00,2020-11-30T00:00:00+00:00,17155.34,19449.655768661163,13.37,13.33,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 55.03 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.05"
1d,BTCUSDT,Bullish,2020-12-01T00:00:00+00:00,2024-04-02T00:00:00+00:00,19720.0,65505.3,232.18,232.06,break_even,force_close,BULL_TREND,EMA(9) > EMA(21) and ADX 45.62 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.20"
1d,ETHUSDT,Bullish,2020-10-24T00:00:00+00:00,2020-10-28T00:00:00+00:00,409.4,380.85367482731874,-6.97,-7.09,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 20.22 >= 20.00,"ema_trend:0.12, rsi_momentum:0.14, volume_confirmation:0.19"
1d,ETHUSDT,Bullish,2020-11-09T00:00:00+00:00,2020-11-20T00:00:00+00:00,454.75,509.9472038053865,12.14,12.10,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 21.42 >= 20.00,"ema_trend:0.24, higher_tf_trend:0.30, rsi_momentum:0.16, volume_confirmation:-0.19"
1d,ETHUSDT,Bullish,2020-11-21T00:00:00+00:00,2020-11-22T00:00:00+00:00,510.37,568.4862344775828,11.39,11.35,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 39.59 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.19"
1d,ETHUSDT,Bullish,2020-11-23T00:00:00+00:00,2020-11-26T00:00:00+00:00,560.42,514.0691203173078,-8.27,-8.39,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 44.45 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.20, volume_confirmation:0.10"
1d,ETHUSDT,Bullish,2020-11-27T00:00:00+00:00,2020-11-30T00:00:00+00:00,520.25,608.562722548575,16.98,16.94,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 47.30 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.06"
1d,ETHUSDT,Bullish,2020-12-01T00:00:00+00:00,2024-04-02T00:00:00+00:00,617.42,3280.76,431.37,431.25,break_even,force_close,BULL_TREND,EMA(9) > EMA(21) and ADX 41.75 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.19"
